time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2025-06-02 20:30,8293.146,7210.113,1916.077,4181.422,173,1212,67
2025-06-02 20:45,8293.146,7210.236,1916.077,4181.422,127,48,77
